code,run_type,state,model,spin,dump_index,pos,Rhigh,beta_crit,f,Munit,inclination_deg,fovx_dsource,fovy_dsource,distance_cm,distance_mpc,seed,Ns,resolution,n1,n2,n3,N_THBINS,freq_hz,flux_230_jy_or_nearest,flux_230_j17_jy,theta_bin_index_17deg,theta_bin_width_deg,L_unit,T_unit,Thetae_unit,B_unit,Ne_unit,RHO_unit,path,par_path,log_path,notes
IPOLE,image,MAD,CRITBETA,0.94,5000,0,40,,0.5,1.438045286e+25,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.5019029915,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_5000/CRITBETA/Rhigh40/pos0/Ma+0.94_5000_CRITBETA_Rhigh40_0.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_5000_CRITBETA_pos0.par,,
IPOLE,image,MAD,CRITBETAWJET,0.94,5000,0,40,,0.5,2.097891358e+25,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.5175576371,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_5000/CRITBETA/Rhigh40/pos0/Ma+0.94_5000_CRITBETAwJET_Rhigh40_0.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_5000_CRITBETAwJET_pos0.par,,
IPOLE,image,MAD,CRITBETA,0.94,5000,1,40,,0.5,7.237220063e+24,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.4867940812,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_5000/CRITBETA/Rhigh40/pos1/Ma+0.94_5000_CRITBETA_Rhigh40_1.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_5000_CRITBETA_pos1.par,,
IPOLE,image,MAD,CRITBETAWJET,0.94,5000,1,40,,0.5,1.130842933e+25,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.4886831574,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_5000/CRITBETA/Rhigh40/pos1/Ma+0.94_5000_CRITBETAwJET_Rhigh40_1.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_5000_CRITBETAwJET_pos1.par,,
IPOLE,image,MAD,CRITBETA,0.94,5000,0,80,,0.5,1.438045286e+25,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.5019029915,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_5000/CRITBETA/Rhigh80/pos0/Ma+0.94_5000_CRITBETA_Rhigh80_0.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_5000_CRITBETA_pos0.par,,
IPOLE,image,MAD,CRITBETAWJET,0.94,5000,0,80,,0.5,2.097891358e+25,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.5175576371,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_5000/CRITBETA/Rhigh80/pos0/Ma+0.94_5000_CRITBETAwJET_Rhigh80_0.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_5000_CRITBETAwJET_pos0.par,,
IPOLE,image,MAD,CRITBETA,0.94,5000,1,80,,0.5,7.237220063e+24,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.4867940812,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_5000/CRITBETA/Rhigh80/pos1/Ma+0.94_5000_CRITBETA_Rhigh80_1.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_5000_CRITBETA_pos1.par,,
IPOLE,image,MAD,CRITBETAWJET,0.94,5000,1,80,,0.5,1.130842933e+25,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.4886831574,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_5000/CRITBETA/Rhigh80/pos1/Ma+0.94_5000_CRITBETAwJET_Rhigh80_1.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_5000_CRITBETAwJET_pos1.par,,
IPOLE,image,MAD,RBETA,0.94,5000,0,160,1,,1.958677415e+25,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.4991715834,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_5000/RBETA/Rhigh160/pos0/Ma+0.94_5000_RBETA_Rhigh160_0.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_5000_RBETA_pos0.par,,
IPOLE,image,MAD,RBETAWJET,0.94,5000,0,160,1,,4.782158156e+25,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.5017418752,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_5000/RBETA/Rhigh160/pos0/Ma+0.94_5000_RBETAwJET_Rhigh160_0.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_5000_RBETAwJET_pos0.par,,
IPOLE,image,MAD,RBETA,0.94,5000,0,160,1,,3.171302704e+25,163,160,160,5.21479582e+25,16.90000229,,,320x320,,,,,2.28e+11,0.4568979677,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_5000/RBETA/Rhigh160/pos0/output_Ma+0.94_5000_model_RBETA_Rhigh_160_0.000.h5,/work/vmo703/ipole_pars/run_Ma+0.94_5000_RBETA_pos0.par,,
IPOLE,image,MAD,RBETAWJET,0.94,5000,0,160,1,,1.002853969e+26,163,160,160,5.21479582e+25,16.90000229,,,320x320,,,,,2.28e+11,0.4880224372,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_5000/RBETA/Rhigh160/pos0/output_Ma+0.94_5000_model_RBETAwJET_Rhigh_160_0.000.h5,/work/vmo703/ipole_pars/run_Ma+0.94_5000_RBETAwJET_pos0.par,,
IPOLE,image,MAD,RBETA,0.94,5000,1,160,1,,9.203267662e+24,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.4825146506,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_5000/RBETA/Rhigh160/pos1/Ma+0.94_5000_RBETA_Rhigh160_1.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_5000_RBETA_pos1.par,,
